score,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0.48688272,11.090561,144.0,0.21708779,2,1test,22,2,BNCI2014-001,EEGNet (Slow) 0.0005
0.9884259,13.693701,144.0,0.13099584,3,0train,22,2,BNCI2014-001,EEGNet (Slow) 0.0005
0.9918981,12.408802,144.0,0.2508624,3,1test,22,2,BNCI2014-001,EEGNet (Slow) 0.0005
0.7943673,12.105643,144.0,0.11689747,4,0train,22,2,BNCI2014-001,EEGNet (Slow) 0.0005
0.759838,12.865772,144.0,0.24103121,4,1test,22,2,BNCI2014-001,EEGNet (Slow) 0.0005
0.6383102,11.28373,144.0,0.109177426,5,0train,22,2,BNCI2014-001,EEGNet (Slow) 0.0005
0.9010417,11.510237,144.0,0.22056289,5,1test,22,2,BNCI2014-001,EEGNet (Slow) 0.0005
0.72723764,13.57302,144.0,0.12946561,6,0train,22,2,BNCI2014-001,EEGNet (Slow) 0.0005
0.71392745,14.023203,144.0,0.26218736,6,1test,22,2,BNCI2014-001,EEGNet (Slow) 0.0005
0.8321759,11.589772,144.0,0.11199954,7,0train,22,2,BNCI2014-001,EEGNet (Slow) 0.0005
0.83661264,11.068155,144.0,0.21938878,7,1test,22,2,BNCI2014-001,EEGNet (Slow) 0.0005
0.99228394,11.368879,144.0,0.10994493,8,0train,22,2,BNCI2014-001,EEGNet (Slow) 0.0005
0.9978781,11.756389,144.0,0.22378168,8,1test,22,2,BNCI2014-001,EEGNet (Slow) 0.0005
0.83352625,12.960805,144.0,0.12407367,9,0train,22,2,BNCI2014-001,EEGNet (Slow) 0.0005
0.9733796,14.229425,144.0,0.25870955,9,1test,22,2,BNCI2014-001,EEGNet (Slow) 0.0005
